,NOSE_x,LEFT_EAR_x,RIGHT_EAR_x,LEFT_SHOULDER_x,RIGHT_SHOULDER_x,LEFT_HIP_x,RIGHT_HIP_x,LEFT_ELBOW_x,RIGHT_ELBOW_x,LEFT_WRIST_x,RIGHT_WRIST_x,LEFT_KNEE_x,RIGHT_KNEE_x,LEFT_ANKLE_x,RIGHT_ANKLE_x,LEFT_HEEL_x,RIGHT_HEEL_x,NOSE_y,LEFT_EAR_y,RIGHT_EAR_y,LEFT_SHOULDER_y,RIGHT_SHOULDER_y,LEFT_HIP_y,RIGHT_HIP_y,LEFT_ELBOW_y,RIGHT_ELBOW_y,LEFT_WRIST_y,RIGHT_WRIST_y,LEFT_KNEE_y,RIGHT_KNEE_y,LEFT_ANKLE_y,RIGHT_ANKLE_y,LEFT_HEEL_y,RIGHT_HEEL_y
8701,0.461453374504647,0.5032130920707916,0.36709320012005475,0.7098974956378417,0.17225117892734146,0.6355799508589509,0.4073070603376794,0.8112381407794401,0.1532279971715916,0.9468183968622982,0.1186874354578611,0.6179156259379276,0.3936895974605371,0.6615622376982048,0.4423046439817476,0.6426263499799061,0.47432792239173455,0.03607062697747936,0.03300443351456093,0.03225627916197007,0.15964462373160818,0.1763980613956093,0.4571609991575477,0.46009918865024474,0.31905487953823103,0.34234760199447495,0.450427282105209,0.49565124216639644,0.6992875910183969,0.7054165680024043,0.929268232385175,0.9242398797024983,0.9592300797264073,0.9506923722945636
8702,0.46095260381428144,0.5169373833154438,0.366213748302192,0.7174865828657473,0.17195511173738534,0.6723451878907502,0.3901793190454631,0.8107742004405398,0.14640207145291667,0.940467501284484,0.11829186527416738,0.6460308174404941,0.36566169999542164,0.6859722144503172,0.4297937195094034,0.6655527350605616,0.46026361171449354,0.048024440364609455,0.040825856434760235,0.042013171949530095,0.1674960803702306,0.18345650983141967,0.4632297775531006,0.46992375566796274,0.3305615970908474,0.35226771295922826,0.4629822944672317,0.5084599017399032,0.7009281664932953,0.715245331871605,0.9293639730596235,0.9261363319662308,0.9591155843718956,0.950847262344596
8703,0.46040828784649274,0.5328275434053832,0.36030929355926683,0.7251798531873006,0.1706940282942562,0.688273806192993,0.3763134039078834,0.8151114321614431,0.1404032007813732,0.9317016741531309,0.12076804509174521,0.6560008546269401,0.3512341728686469,0.6922832274375944,0.4135631330216658,0.6723315545562298,0.4433358938227768,0.046465572342014275,0.04304900735609713,0.042954512621932464,0.17365220573726645,0.1884484023668407,0.4690296951505447,0.4777939014108438,0.34737024958216745,0.35841636268456073,0.4831683631892321,0.5169185247516203,0.7019952159827646,0.719439166867274,0.9295389293058073,0.9277942194534952,0.9589752521504438,0.9521939270640984
8704,0.47831862323669605,0.5348391724362463,0.36177884493099394,0.7231938629646398,0.17129867685436242,0.6820958708292425,0.37686606266246814,0.8193220977021727,0.14108435880087683,0.9301828799910468,0.12358037817242098,0.6536862399975583,0.3556674483790067,0.6907868163620362,0.41395951713577883,0.6714862878159703,0.44035487366273773,0.05093200595664377,0.04720284111107195,0.04739451918738213,0.1777954817877303,0.19213815615395807,0.4723322238125813,0.4800974482683955,0.3527180875839625,0.3629255517236698,0.4888811961184108,0.5210756372968159,0.704680282870413,0.7226900217954302,0.9318321151862612,0.928541127865802,0.9604774626780227,0.9534435395930642
8705,0.4764526877508559,0.5359741984057138,0.3614349593289144,0.7243115929127009,0.16988915285104544,0.685715215920479,0.37710779999694777,0.8154974386627123,0.14331483337318202,0.9284276390422074,0.12572956144411584,0.6575184278933954,0.3577502963215432,0.6904227859820834,0.4190728315113162,0.6721168804081861,0.4452461885164592,0.04971124678162161,0.048440190964611676,0.04655606695210939,0.18113224101967237,0.1972324780958781,0.4767694761942453,0.4854257446804744,0.35846856102487645,0.36958484023799565,0.49151314660448164,0.5248664433985396,0.7076980813896719,0.7256093254564552,0.9335015440151029,0.9306352256040467,0.9611506638861651,0.9552428085146509
8706,0.4592580006816667,0.5448250812658653,0.34619614705687846,0.7270040747391607,0.16981600085462695,0.6950341087716264,0.37232351699334104,0.812307848832773,0.14408043667366985,0.9210286045671671,0.12600446644317495,0.6808544234574747,0.3433595995462338,0.7020166143546803,0.4135079892357702,0.683597572452525,0.442854860945075,0.049318906743796166,0.04974855941433474,0.04579735489500768,0.18294219879737908,0.19929509944800264,0.4804115563715518,0.49055626446643236,0.3588332280732379,0.3722191514530255,0.4914600302029041,0.527534198273822,0.7126283326689412,0.7294192796930685,0.9368285980279913,0.9333282927398339,0.9635266064317929,0.9574132364892367
8707,0.4481720648906027,0.5415532844635944,0.34616786297481394,0.7255691154102464,0.16999089415343588,0.6957346993798867,0.36810511911362975,0.8108956795555939,0.1435060052803734,0.9181517675007758,0.1253904576832486,0.6904516805119623,0.33717352487829194,0.7090839721839279,0.4150760261882112,0.6904091526475631,0.4442104620581248,0.05946964781268297,0.05651729394623202,0.051443431655290146,0.18532824001688705,0.20031559011633618,0.48158969127370316,0.4910829693275077,0.35821111041673626,0.37120600527478664,0.49796855994287564,0.5255178734396156,0.7132362203758845,0.7305145267784372,0.9386060957825119,0.9334341320881625,0.9655416197499109,0.9576601949686702
8708,0.4562010815100444,0.5450281569054366,0.3471626894295874,0.7266945776972891,0.1701625317305687,0.6977998443358073,0.36862461020363524,0.8115714452860711,0.14471306409193324,0.9163615275439141,0.12833586838745104,0.6903356954272372,0.3398354843140347,0.7080744949816102,0.4143255823417796,0.6885790301001643,0.4444481297405088,0.07137277110299892,0.06205372796152955,0.05806612887075132,0.18842558198690357,0.20079265409346805,0.48195206316891015,0.49056295319848287,0.3609416213368454,0.37143597962087604,0.49773012631801633,0.5248083432358264,0.7132157607249064,0.7293398018181154,0.9385961282602405,0.9324823648628577,0.9646913638698433,0.9555966555552838
8709,0.459297679789599,0.5441480946397594,0.35868468844269674,0.7253574935012743,0.17202633064905865,0.6930646006399528,0.3780328319182814,0.8107298412326976,0.14574126169389096,0.9150395010606531,0.13083056512206392,0.6862473229319809,0.34491685192062144,0.7048342379830804,0.4197229584335909,0.6758652334708537,0.4505568810186339,0.06841720402213142,0.06227452169500088,0.05920891841432196,0.18959689700539561,0.20103705511652917,0.4813178139885913,0.48984935729481976,0.36031970040775685,0.37155486855428366,0.49718886362836046,0.5236254868757569,0.7129667038197316,0.7285463345846728,0.9388089873213773,0.934460131124067,0.9649227153078256,0.9604886105647736
8710,0.4711417917660764,0.5431367860939987,0.35879395860146407,0.7246768441882825,0.172082186624071,0.6938264395122522,0.3772909343412505,0.8117704512735467,0.14629208910503264,0.9213783911647853,0.13077979621217112,0.6844473158100897,0.3453553569339241,0.7043802682918144,0.41864836679774337,0.6739679616638773,0.4505833337572554,0.062065203727302606,0.06048607278114277,0.05752335793759373,0.18828420055258116,0.20073416047592818,0.4813576840776767,0.4892674376064255,0.35965187641557667,0.37135184586380937,0.4980814814780813,0.5233285596333579,0.7123801938250282,0.7282933431312328,0.9387960033121028,0.9351059216459632,0.964896484986059,0.9611879109430739
